,AUD,CAD,CHF,EUR,GBP,ISK,JPY,MXN,NOK,NZD,SEK,TRY,USD
AUD,,0.9071,0.5231058,0.5591903,0.4852374,80.473642,96.61912,12.26807,6.573587,1.112167,6.155568,27.03906,0.658809268
CAD,1.103685,,0.5768,0.6171697,0.5352,88.274617,106.5236,13.64047,7.249892,1.227585,6.7897,29.78594,0.7226739
CHF,1.911199,1.731922,,1.067963,0.927595,153.035185,184.4873,23.49614,12.58735,2.126148,11.7676,51.581,1.25281884
EUR,1.7882,1.62055,0.93615,,0.86735,143.2,172.784,22.03515,11.76729,1.98865,10.99251,48.2566,1.17215
GBP,2.060847,1.867243,1.078055,1.1526,,165.0002,199.1172,25.33119,13.55479,2.29194,12.6893,55.73898,1.35076
ISK,0.012389,0.011293,0.006534445,0.006983,0.006058444,,1.200708,0.152758,0.082023,0.013898,0.076685,0.336591,0.00818665575
JPY,0.01034992,0.009377606,0.005420054,0.005787574,0.005022,0.830481,,0.1269698,0.068167,0.01151181,0.063739,0.2799749,0.00679932143
MXN,0.08151244,0.07331126,0.04256018,0.0456037,0.03947702,6.526646,7.875895,,0.536465,0.090639,0.501745,2.203094,0.0534310766
NOK,0.1518825,0.1377055,0.0794,0.08512847,0.07384044,12.158205,14.67,1.8641,,0.168957,0.935295,4.106751,0.0995094186
NZD,0.899095,0.8154439,0.4703621,0.5027,0.4363,71.740527,86.864,11.033,5.9212,,5.5367,24.30643,0.587315
SEK,0.1624545,0.1473,0.0849805,0.09090909,0.0788047,13.001182,15.689,1.99308,1.0695,0.1806485,,4.390918,0.106436197
TRY,0.036975,0.03353,0.01938699,0.020685,0.017945,2.961974,3.574,0.4538,0.24345,0.041135,0.2277,,0.02424866
USD,1.51789,1.38374999,0.7982,0.853133131,0.740323966,122.15,147.0735,18.7157,10.0493,1.70266382,9.3953,41.2393922,
